anoInicio,id,nome,coordenador,campusLotacao,campusExecucao,area,financiamentos,atualizadoEm,parecer
2021,PJ 6577,Mapeamento do potencial energético de Biomassas na região de Linhares - ES.,Eduardo Lima Pereira,Linhares,Linhares,Engenharia Elétrica,0,01/09/2022 20:17:44,Aprovado
2021,PJ 6512,Desenvolvimento de sistemas de irrigação automatizados utilizando conceitos de Indústria 4.0,Erlon Cavazzana,Linhares,Linhares,Engenharia Elétrica,0,18/08/2023 15:35:31,Aprovado
2021,PJ 6487,Avaliação de saúde pré-participação esportiva e classificação de riscos.,Silvio Freire Junior,Linhares,Linhares,Educação Física,0,31/10/2023 16:56:45,Aprovado
2021,PJ 6469,ESTUDO DO NÍVEL DE ILUMINAÇÃO ARTIFICIAL DE SALAS DE AULA DO IFES LINHARES,Luis Thiago Ramos,Linhares,Linhares,Engenharia Elétrica,0,06/08/2024 15:21:02,Aprovado
2021,PJ 6454,Estudo de Eficiência Energética em Instalações Elétrica de Baixa Tensão - Comparação financeira de duas propostas de instalação: Convencional x Eficiente,Luis Thiago Ramos,Linhares,Linhares,Engenharia Elétrica,0,01/03/2026 10:10:35,Aprovado
2021,PJ 6428,Modelagem do fluxo tridimensional de água no solo visando a economia de água e de energia na irrigação,Erlon Cavazzana,Linhares,Linhares,Engenharia Elétrica,0,31/08/2023 15:26:49,Aprovado
2021,PJ 6411,Desenvolvimento de aplicações de IoT de baixo custo com emprego do protocolo MQTT e conexão Wireless,Alex Brandão Rossow,Linhares,Linhares,Engenharia Elétrica,0,12/04/2021 16:10:30,Aprovado
2021,PJ 6289,AVALIAÇÃO DE RISCO CARDIOVASCULAR EM ADOLESCENTES POR MEIO DE INDICADORES ANTROPOMÉTRICOS DE ADIPOSIDADE,André Leite Serafim,Linhares,Linhares,Educação Física,0,23/08/2022 11:18:44,Aprovado
2020,PJ 6150,Qualidade das águas das lagoas Juparanã e Nova no município de Linhares/ES: Análise de dados de parâmetros físico-químicos e microbiológicos,Marcio Vieira Rodrigues,Linhares,Linhares,Interdisciplinar,0,05/05/2023 10:11:44,Aprovado
2020,PJ 6140,Desenvolvimento Regional Sustentável do Espírito Santo-DRS/ES,Ellen Luci Bruneli Pessoa,Linhares,Linhares,Administração,0,25/07/2023 15:54:18,Aprovado
2022,PJ 6129,"MATRIZ ELÉTRICA RENOVÁVEL BRASILEIRA, POLÍTICAS PÚBLICAS PARA O SETOR DE ENERGIA E PERSPECTIVAS PARA O ESTADO DO ESPÍRITO SANTO",Daniel Franz Reich Magalhaes,Linhares,Linhares,Engenharia Elétrica,0,25/04/2022 13:22:05,Aprovado
2022,PJ 6128,LEAN APLICADO AO SETOR DE SERVIÇOS,Daniel Franz Reich Magalhaes,Linhares,Linhares,Administração,0,25/04/2022 13:20:01,Aprovado
2020,PJ 5800,Desenvolvimento de um sensor de potencial matricial do solo usando tecnologias de ‘Código Aberto’ e ‘Internet das Coisas’ com foco na avaliação de características hídricas do solo de cafezais,Erlon Cavazzana,Linhares,Linhares,Engenharia Elétrica,1,15/12/2021 09:05:49,Aprovado
2020,PJ 5637,Implementação de Interface homem-máquina (IHM) em telefone celular para comando de sistemas embarcados através de conexão sem fio.,Alex Brandão Rossow,Linhares,Linhares,Engenharia Elétrica,0,03/04/2020 14:53:54,Aprovado
2020,PJ 5635,Desenvolvimento de uma rede tipo Wireless mesh network (WMN) para coleta de dados em campo e concentração da informação.,Alex Brandão Rossow,Linhares,Linhares,Engenharia Elétrica,0,03/04/2020 14:56:02,Aprovado
2020,PJ 5631,Estudo do potencial das pétalas de Macroptilim atropurpureum (Siratro) como indicador ácido-base.,Renato César De Souza Oliveira,Linhares,Linhares,Química,0,08/04/2021 12:24:02,Aprovado
2020,PJ 5607,Impacto da variação do efluente bruto no volume de gás metano gerado na ETE Aviso para fins de produção de energia elétrica,Eduardo Lima Pereira,Linhares,Linhares,Engenharia Elétrica,0,25/04/2022 13:53:36,Aprovado
2019,PJ 5278,Desenvolvimento da interface de um sistema automático de monitoramento das características hídricas do solo de cafezais visando a economia de água e de energia na irrigação.,Erlon Cavazzana,Linhares,Linhares,Engenharia Elétrica,1,20/07/2021 09:47:32,Aprovado
2019,PJ 5127,Características físico-químicas dos alimentos provenientes dos processos de fritura.,Marina Cominote,Linhares,Linhares,Ciência e Tecnologia de Alimentos,0,26/04/2023 12:57:07,Aprovado
2019,PJ 4971,Qualidade da água das lagoas Juparanã e Nova do município de Linhares/ES nas áreas de balneabilidade.,Thieres Marassati Das Virgens,Linhares,Linhares,Engenharia Sanitária,0,30/07/2021 10:06:03,Aprovado
2019,PJ 4919,LUMINESCÊNCIA DE FOSFATOS ATIVADOS COM ÍONS DE TERRA RARA.,Renato César De Souza Oliveira,Linhares,Linhares,Química,0,16/01/2024 12:54:43,Aprovado
2018,PJ 4787,i-VANT: Um veículo aéreo não tripulado para realização de voos semiautônomos construído a partir de equipamentos comerciais,Lucas Vago Santana,Linhares,Linhares,Engenharia Elétrica,0,20/07/2021 09:48:11,Aprovado
2018,PJ 4759,Análise de Circuito de Corrente Alternada em Libras,Ralf Majevski Santos,Linhares,Linhares,Engenharia Elétrica,0,17/09/2018 15:35:46,Recusado
2018,PJ 4730,Simulação de resposta microestrutural de um material metálico policristalino à aplicação de carregamentos mecânicos,André Hemerly Maia,Linhares,Linhares,Engenharia Mecânica,0,26/08/2019 11:48:17,Recusado
2018,PJ 4629,Estudar a eficiência energética em Lâmpadas Tipo Incandescente e LED,Ralf Majevski Santos,Linhares,Linhares,Engenharia Elétrica,0,12/03/2019 13:00:47,Recusado
2018,PJ 4510,i-Plantei: Uma plataforma experimental para monitoramento de dados atmosféricos e subsídio a um sistema automático de irrigação de hortas,Lucas Vago Santana,Linhares,Linhares,Engenharia Elétrica,0,20/07/2021 09:44:14,Aprovado
2016,PJ 4406,Sistema de Gerenciamento de Dados Laboratoriais e Emissão de Relatórios Técnicos de Análises de Solo,Erlon Cavazzana,Linhares,Linhares,Engenharia Elétrica,1,03/04/2020 16:23:40,Aprovado
2017,PJ 4183,Acompanhamento dos índices de preços da cesta básica no município de Linhares pela metodologia do DIEESE,Fausto Karlaire De Barros,Linhares,Linhares,Economia,0,13/08/2018 16:07:03,Recusado
2017,PJ 4101,Avaliação da qualidade em serviços em estabelecimentos do setor terciário do Espírito Santo,Fausto Karlaire De Barros,Linhares,Linhares,Administração,0,14/08/2018 11:34:08,Recusado
2017,PJ 3990,O Jogo Minetest como facilitador do ensino de matemática nos cursos técnicos em Administração e Automação Industrial integrados ao Ensino Médio do campus Linhares,Adalto Dos Reis Junior,Linhares,Linhares,Matemática,0,13/08/2018 16:05:05,Recusado
2017,PJ 3944,Avaliação da autodepuração do rio Doce após Estação de Tratamento de Esgoto do Bairro Aviso do Município de Linhares/ES.,Marina Cominote,Linhares,Linhares,Engenharia Sanitária,0,07/08/2018 15:22:25,Aprovado
2017,PJ 3831,AVALIAÇÃO DO NÍVEL DE ATIVIDADE FÍSICA DOS SERVIDORES DO IFES CAMPUS LINHARES,André Leite Serafim,Linhares,Linhares,Educação Física,0,03/09/2019 09:54:45,Aprovado
2017,PJ 3821,Os efeitos da renda familiar no desempenho acadêmico dos alunos do IFES Campus Linhares,Osmar José Bertholini Pianca,Linhares,Linhares,Administração,0,02/08/2018 14:23:57,Aprovado
2015,PJ 3703,Hábitos de consumo de produtos agroecológicos oriundos da agricultura familiar na região urbana de Linhares/ES,Renato Miranda,Linhares,Linhares,Administração,1,16/08/2017 11:14:48,Aprovado
2017,PJ 3626,Avaliação de tratamento de efluente com elevado grau de emulsão de indústria em Linhares/ES utilizando sistema de eletrofloculação com monitoramento e controle automático tendo geração fotovoltaica como fonte energética.,Marina Cominote,Linhares,Linhares,Engenharia Sanitária,0,26/04/2023 12:58:36,Aprovado
2014,PJ 3573,Astronomia e Astronáutica no Cotidiano dos Alunos,Ricardo Rodrigo Silva Lopes,Linhares,Linhares,Astronomia,0,25/04/2022 13:18:32,Recusado
2016,PJ 3530,Avaliação da qualidade em serviços em estabelecimentos do setor terciário do Espírito Santo,Fausto Karlaire De Barros,Linhares,Linhares,Administração,0,01/08/2017 09:41:24,Aprovado
2015,PJ 2847,Leitores da Liberdade,Adriana Pin,Linhares,São Mateus,Letras,0,29/06/2015 14:31:40,Aprovado
2015,PJ 2764,Leitores da Liberdade,Adriana Pin,Linhares,São Mateus,Letras,0,23/04/2020 20:41:13,Aprovado
2015,PJ 2718,Analise de perfil socioeconômico das propriedades rurais do Assentamento Sezínio Fernandes de Jesus no município de Linhares/ES.,Joel José De Souza,Linhares,Linhares,Geografia,0,18/08/2015 13:10:38,Aprovado
2013,PJ 2046,Inglês como Ferramenta de Trabalho através do B-Learning,Nágila De Fátima Rabelo Moraes,Linhares,São Mateus,Educação,0,05/10/2014 00:21:51,Aprovado
2014,PJ 2030,TESTE,Ralf Majevski Santos,Linhares,Linhares,Matemática,0,02/10/2014 18:08:43,Aprovado
2011,PJ 767,Empregando a Dignidade – um empreendimento social para a ressocialização dos detentos de linhares.,Claudinei Pereira Goncalves,Linhares,Linhares,Arquitetura e Urbanismo,0,26/04/2013 16:11:14,Aprovado
2011,PJ 766,Sustentabilidade aqui e agora: um panorama linharense,Claudinei Pereira Goncalves,Linhares,Linhares,Arquitetura e Urbanismo,0,26/04/2013 16:05:04,Aprovado
2011,PJ 712,Calendário festivo e cultural de Linhares: uma oportunidade de desenvolvimento comercial para o município.,Ellen Luci Bruneli Pessoa,Linhares,Vitória,Planejamento Urbano e Regional,0,25/07/2023 16:02:18,Aprovado
2011,PJ 632,LEVANTAMENTO FITOSSOCIOLÓGICO E FLORÍSTICO DE UM FRAGMENTO FLORESTAL URBANO NO MUNICÍPIO DE IBATIBA - ES,Claudio Sergio Marinato,Linhares,Ibatiba,Biologia Geral,0,26/04/2023 12:57:34,Aprovado
